"Taxa.Group";"Family";"Genus";"Species";"X1.1";"X1.2";"X1.3";"X1.4";"X1.5";"X1.6";"X1.7";"X2.1";"X2.2";"X3.1";"X3.2";"X3.3";"X4.1";"X4.2";"X4.3";"X4.4";"X5.1";"X5.2";"X5.3";"X5.4";"X5.5";"X5.6";"X5.7";"X5.8";"X6.1";"X6.2";"X6.3";"X6.4";"X7.1";"X7.2";"X7.3";"X7.4";"X7.5";"X8.1";"X8.2";"X8.3";"X8.4";"X8.5";"X9.1";"X9.2";"X9.3";"X9.4";"X9.5";"X9.6";"X9.7";"X9.8";"X10.1";"X10.2";"X10.3";"X10.4";"X10.5";"X10.6";"X10.7";"X10.8";"X10.9";"X11.1";"X11.2";"X11.3";"X11.4";"X11.5";"X11.6";"X11.7";"X11.8";"X12.1";"X12.2";"X12.3";"X12.4";"X12.5";"X12.6";"X12.7";"X13.1";"X13.2";"X13.3";"X13.4";"X13.5";"X13.6";"X13.7";"X13.8";"X14.1";"X14.2";"X14.3";"X15.1";"X15.2";"X15.3";"X15.4";"X15.5";"X15.6";"X15.7";"X15.8";"X15.9";"X16.1";"X16.2";"X16.3";"X16.4";"X17.1";"X17.2";"X17.3";"X18.1";"X18.2";"X19.1";"X19.2";"X19.3";"X20.1";"X20.2";"X20.3";"X20.4";"X20.5";"X21.1";"X21.2";"X21.3";"X21.4";"X21.5";"X21.6";"taxa";"level"
"1";"Porifera";"SPONGILLIDAE";"Trochospongilla";"horrida";0;0;0;0;3;2;1;3;0;0;3;0;3;3;0;3;3;0;0;0;0;0;0;3;3;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;3;0;2;0;1;0;0;1;0;0;0;0;0;0;3;0;0;0;1;3;1;0;0;3;0;0;0;0;0;0;0;0;3;3;0;0;3;0;0;0;1;0;2;0;0;3;2;1;0;3;0;0;3;0;0;1;3;0;0;3;0;0;0;0;0;2;3;3;"Trochospongilla horrida";"SPE"
"2";"Porifera";"SPONGILLIDAE";"Heteromyenia";"baileyi";0;0;0;0;2;1;1;3;0;0;3;0;3;3;0;3;3;0;0;0;0;0;0;3;3;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;3;0;2;0;1;0;0;1;0;0;0;0;0;0;3;0;0;0;1;3;1;0;0;3;0;0;0;0;0;0;0;0;3;3;0;0;3;0;0;0;1;0;2;0;0;3;2;1;0;3;0;0;3;0;0;1;3;0;0;3;0;0;0;0;0;2;3;3;"Heteromyenia baileyi";"SPE"
"3";"Porifera";"SPONGILLIDAE";"Ephydatia";"sp.";0;0;0;1;3;1;1;3;0;0;3;0;3;3;0;3;3;0;0;0;0;0;0;3;3;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;3;0;2;0;1;0;0;1;0;0;0;0;0;0;3;0;0;0;1;3;1;0;0;3;0;1;0;0;0;0;0;0;3;3;0;0;1;0;0;0;3;0;2;0;0;3;2;1;0;1;3;2;3;3;0;3;3;0;0;3;1;0;0;0;0;0;2;3;"Ephydatia sp.";"GEN"
"4";"Coelenterata";"HYDRIDAE";"Hydra";"sp.";0;0;3;2;1;0;0;0;3;0;3;0;3;3;0;3;0;0;0;2;0;0;0;3;3;1;0;0;0;0;0;0;3;3;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;3;0;0;4;3;0;0;2;0;0;0;1;1;1;1;0;1;3;0;0;3;0;0;0;5;0;3;0;0;0;3;0;0;3;0;0;3;1;0;3;3;0;3;0;0;0;0;0;0;0;0;3;"Hydra sp.";"GEN"
"5";"Coelenterata";"CLAVIDAE";"Cordylophora";"caspia";0;0;0;0;3;1;0;3;0;0;3;0;3;3;0;3;0;0;0;2;0;0;0;3;3;1;0;0;3;0;0;1;0;3;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;3;0;1;3;0;0;0;0;0;0;0;0;0;0;2;2;0;3;0;0;3;0;0;0;3;0;3;0;0;3;3;0;0;0;3;0;2;3;0;3;3;0;0;3;0;0;0;0;0;0;0;3;"Cordylophora caspia";"SPE"
"6";"Coelenterata";"HYDRIDAE";"Microhydra";"sowerbyi";0;0;0;3;0;0;0;3;0;0;3;0;0;0;0;3;0;3;0;0;0;0;0;3;3;1;0;0;0;0;0;0;2;3;0;0;0;0;0;0;3;0;0;0;2;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;3;0;1;0;3;0;0;3;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;2;0;0;2;0;3;0;0;0;0;3;0;3;0;0;3;3;0;0;3;0;0;0;0;0;0;0;3;"Microhydra sowerbyi";"SPE"
"7";"Bryozoa";"BARENTSIIDAE";"Urnatella ";"gracilis";0;3;0;0;0;0;0;3;0;3;0;0;3;3;0;3;3;0;0;0;0;0;0;3;3;1;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;0;0;0;2;0;0;0;0;0;1;1;0;3;3;0;0;3;0;0;0;0;0;3;0;0;3;2;1;0;0;3;0;2;1;0;3;2;0;0;3;0;0;0;0;0;0;1;3;"Urnatella  gracilis";"SPE"
"8";"Bryozoa";"PALUDICELLIDAE";"Paludicella";"articulata";3;0;0;0;0;0;0;3;0;3;0;0;3;3;0;3;3;0;0;0;0;0;0;3;3;1;0;0;3;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;3;0;1;0;3;0;0;3;0;0;0;0;0;0;3;0;0;0;2;3;1;0;0;3;0;0;1;1;1;1;1;0;1;3;0;0;3;0;0;0;1;0;3;1;1;2;3;2;1;1;2;0;3;2;1;0;3;0;3;2;0;0;0;0;0;0;0;3;"Paludicella articulata";"SPE"
"9";"Bryozoa";"FREDERICELLIDAE";"Fredericella";"sultana";0;0;0;0;3;1;0;3;0;3;0;0;3;3;0;3;3;0;0;0;0;0;0;3;3;1;0;0;3;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;3;0;1;0;3;0;0;3;0;0;0;0;0;0;3;0;0;0;0;3;2;0;0;4;0;0;0;0;1;3;2;0;2;3;2;1;4;0;1;0;2;0;4;0;2;2;3;1;0;1;2;1;3;1;0;0;3;0;2;3;0;0;0;0;0;0;1;3;"Fredericella sultana";"SPE"
"10";"Bryozoa";"PLUMATELLIDAE";"Plumatella";"sp.";0;0;0;0;2;3;2;3;0;3;0;0;3;3;0;3;3;0;0;0;0;0;0;3;3;1;0;0;3;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;3;0;1;0;3;0;0;3;0;0;0;0;0;0;3;0;0;0;0;3;2;0;0;2;0;0;1;1;2;3;2;0;2;3;2;0;3;0;0;0;4;0;4;1;0;3;3;1;0;1;3;3;3;1;0;0;3;0;1;3;2;0;0;2;3;3;1;0;"Plumatella sp.";"GEN"
"11";"Bryozoa";"PLUMATELLIDAE";"Hyalinella";"punctata";0;0;0;0;3;2;2;3;0;3;0;0;3;3;0;3;3;0;0;0;0;0;0;3;3;1;0;0;3;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;3;0;1;0;3;0;0;3;0;0;0;0;0;0;3;0;0;0;0;1;2;0;0;1;0;0;0;0;0;1;1;0;1;3;0;0;3;0;0;0;1;0;3;0;0;2;1;0;0;0;0;3;3;1;0;0;3;0;1;3;2;0;0;0;0;0;0;3;"Hyalinella punctata";"SPE"
